DateTime,Entries,UniqueIPs
1557791048,1519,1570
1557792969,1513,1563
1557794888,1494,1546
1557796805,1492,1545
1557798751,1496,1547
1557800647,1483,1536
1557802565,1474,1527
1557804515,1500,1554
1557806438,1496,1550
1557808359,1481,1535
1557810276,1467,1521
1557812169,1456,1508
1557814092,1460,1509
1557816033,1456,1504
1557817960,1443,1492
1557819871,1443,1493
1557821795,1436,1484
1557823738,1430,1478
1557827549,1424,1474
1557829453,1431,1481
1557831398,1433,1483
1557833293,1418,1468
1557835237,1408,1462
1557837148,1405,1460
1557839064,1412,1465
1557840974,1406,1463
1557842898,1408,1466
1557845058,1410,1469
1557846998,1405,1465
1557848918,1404,1465
1557850834,1427,1486
1557854651,1413,1472
1557856594,1414,1473
1557858489,1413,1472
1557860423,1405,1462
1557862361,1398,1453
1557864283,1379,1434
1557866194,1382,1436
1557868127,1377,1433
1557870014,1382,1439
1557871942,1380,1439
1557873880,1380,1437
1557875789,1375,1433
1557877721,1371,1431
1557879636,1370,1433
1557881556,1382,1443
1557883456,1399,1460
1557885369,1406,1467
1557887289,1415,1475
1557889238,1418,1478
1557891142,1420,1484
1557893084,1412,1479
1557894974,1419,1485
1557896919,1406,1475
1557898838,1400,1471
1557900762,1401,1472
1557902654,1396,1466
1557904600,1401,1470
1557906495,1404,1474
1557908438,1403,1473
1557910337,1399,1468
1557912258,1406,1475
1557914176,1390,1458
