DateTime,AddedIPs,RemovedIPs
1557851142,1502,0
1557854501,0,256
1557858034,2,0
1557858421,364,365
1557860399,1,1
1557861319,248,0
1557861984,255,0
1557865232,3,0
1557869421,235,260
1557871049,2,3
1557872432,6,0
1557873004,254,0
1557874827,247,0
1557879637,6,0
1557879951,254,0
1557880021,296,296
1557881820,3,2
1557886923,16,0
1557891014,56,71
1557891023,1022,1012
1557892993,2,1
1557894030,4,0
1557901229,6,0
1557901621,611,609
1557903969,2,0
1557904836,1,0
1557908437,2,0
1557912421,602,620
1557914980,0,7
